0.6255 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
75.2277 	EXP 	Cross: autoDraw = True
75.4278 	EXP 	Cross: autoDraw = False
75.7940 	EXP 	polygon_2: autoDraw = True
76.2790 	EXP 	New trial (rep=31, index=0): None
76.2805 	DATA 	Keypress: b
76.2942 	EXP 	Cross: autoDraw = False
76.2942 	EXP 	polygon_2: autoDraw = False
77.2773 	EXP 	Cross: autoDraw = True
77.4773 	EXP 	Cross: autoDraw = False
78.0110 	EXP 	polygon_2: autoDraw = True
78.2623 	EXP 	New trial (rep=32, index=0): None
78.2636 	DATA 	Keypress: b
78.2775 	EXP 	Cross: autoDraw = False
78.2775 	EXP 	polygon_2: autoDraw = False
79.2607 	EXP 	Cross: autoDraw = True
79.4605 	EXP 	Cross: autoDraw = False
80.0776 	EXP 	polygon_2: autoDraw = True
80.3632 	EXP 	New trial (rep=33, index=0): None
80.3646 	DATA 	Keypress: b
80.3786 	EXP 	Cross: autoDraw = False
80.3786 	EXP 	polygon_2: autoDraw = False
81.3605 	EXP 	Cross: autoDraw = True
81.5605 	EXP 	Cross: autoDraw = False
81.8939 	EXP 	polygon_2: autoDraw = True
82.2285 	EXP 	New trial (rep=34, index=0): None
82.2300 	DATA 	Keypress: b
82.2438 	EXP 	Cross: autoDraw = False
82.2438 	EXP 	polygon_2: autoDraw = False
83.2270 	EXP 	Cross: autoDraw = True
83.4272 	EXP 	Cross: autoDraw = False
83.8104 	EXP 	polygon_2: autoDraw = True
84.1119 	EXP 	New trial (rep=35, index=0): None
84.1133 	DATA 	Keypress: b
84.1271 	EXP 	Cross: autoDraw = False
84.1271 	EXP 	polygon_2: autoDraw = False
85.1105 	EXP 	Cross: autoDraw = True
85.3105 	EXP 	Cross: autoDraw = False
86.0103 	EXP 	polygon_2: autoDraw = True
86.1954 	EXP 	New trial (rep=36, index=0): None
86.1968 	DATA 	Keypress: b
86.2107 	EXP 	Cross: autoDraw = False
86.2107 	EXP 	polygon_2: autoDraw = False
87.1942 	EXP 	Cross: autoDraw = True
87.3942 	EXP 	Cross: autoDraw = False
87.7605 	EXP 	polygon_2: autoDraw = True
88.0618 	EXP 	New trial (rep=37, index=0): None
88.0631 	DATA 	Keypress: b
88.0770 	EXP 	Cross: autoDraw = False
88.0770 	EXP 	polygon_2: autoDraw = False
89.0607 	EXP 	Cross: autoDraw = True
89.2604 	EXP 	Cross: autoDraw = False
89.5936 	EXP 	polygon_2: autoDraw = True
89.8787 	EXP 	New trial (rep=38, index=0): None
89.8802 	DATA 	Keypress: b
89.8940 	EXP 	Cross: autoDraw = False
89.8940 	EXP 	polygon_2: autoDraw = False
90.8773 	EXP 	Cross: autoDraw = True
91.0773 	EXP 	Cross: autoDraw = False
91.8602 	EXP 	polygon_2: autoDraw = True
91.8952 	EXP 	New trial (rep=39, index=0): None
91.8969 	DATA 	Keypress: b
91.9108 	EXP 	Cross: autoDraw = False
91.9108 	EXP 	polygon_2: autoDraw = False
92.8939 	EXP 	Cross: autoDraw = True
93.0933 	EXP 	Cross: autoDraw = False
93.6100 	EXP 	polygon_2: autoDraw = True
93.9127 	EXP 	New trial (rep=40, index=0): None
93.9143 	DATA 	Keypress: b
93.9282 	EXP 	Cross: autoDraw = False
93.9282 	EXP 	polygon_2: autoDraw = False
94.9100 	EXP 	Cross: autoDraw = True
95.1103 	EXP 	Cross: autoDraw = False
95.8099 	EXP 	polygon_2: autoDraw = True
96.0450 	EXP 	New trial (rep=41, index=0): None
96.0463 	DATA 	Keypress: b
96.0603 	EXP 	Cross: autoDraw = False
96.0603 	EXP 	polygon_2: autoDraw = False
97.0433 	EXP 	Cross: autoDraw = True
97.2436 	EXP 	Cross: autoDraw = False
97.6434 	EXP 	polygon_2: autoDraw = True
97.8952 	EXP 	New trial (rep=42, index=0): None
97.8966 	DATA 	Keypress: b
97.9105 	EXP 	Cross: autoDraw = False
97.9105 	EXP 	polygon_2: autoDraw = False
98.8939 	EXP 	Cross: autoDraw = True
99.0938 	EXP 	Cross: autoDraw = False
99.5936 	EXP 	polygon_2: autoDraw = True
