0.5885 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
219.0309 	EXP 	Cross: autoDraw = True
219.2311 	EXP 	Cross: autoDraw = False
219.7475 	EXP 	polygon_2: autoDraw = True
219.8495 	EXP 	New trial (rep=34, index=0): None
219.8509 	DATA 	Keypress: b
219.8646 	EXP 	Cross: autoDraw = False
219.8646 	EXP 	polygon_2: autoDraw = False
220.8475 	EXP 	Cross: autoDraw = True
221.0476 	EXP 	Cross: autoDraw = False
221.7311 	EXP 	polygon_2: autoDraw = True
221.8665 	EXP 	New trial (rep=35, index=0): None
221.8680 	DATA 	Keypress: b
221.8816 	EXP 	Cross: autoDraw = False
221.8816 	EXP 	polygon_2: autoDraw = False
222.8642 	EXP 	Cross: autoDraw = True
223.0642 	EXP 	Cross: autoDraw = False
223.4475 	EXP 	polygon_2: autoDraw = True
223.7836 	EXP 	New trial (rep=36, index=0): None
223.7855 	DATA 	Keypress: b
223.7992 	EXP 	Cross: autoDraw = False
223.7992 	EXP 	polygon_2: autoDraw = False
224.7808 	EXP 	Cross: autoDraw = True
224.9807 	EXP 	Cross: autoDraw = False
225.7310 	EXP 	polygon_2: autoDraw = True
225.9658 	EXP 	New trial (rep=37, index=0): None
225.9673 	DATA 	Keypress: b
225.9812 	EXP 	Cross: autoDraw = False
225.9812 	EXP 	polygon_2: autoDraw = False
226.9644 	EXP 	Cross: autoDraw = True
227.1641 	EXP 	Cross: autoDraw = False
227.7309 	EXP 	polygon_2: autoDraw = True
227.9826 	EXP 	New trial (rep=38, index=0): None
227.9839 	DATA 	Keypress: b
227.9977 	EXP 	Cross: autoDraw = False
227.9977 	EXP 	polygon_2: autoDraw = False
228.9811 	EXP 	Cross: autoDraw = True
229.1808 	EXP 	Cross: autoDraw = False
229.5806 	EXP 	polygon_2: autoDraw = True
229.7997 	EXP 	New trial (rep=39, index=0): None
229.8018 	DATA 	Keypress: b
229.8157 	EXP 	Cross: autoDraw = False
229.8157 	EXP 	polygon_2: autoDraw = False
230.7971 	EXP 	Cross: autoDraw = True
230.9976 	EXP 	Cross: autoDraw = False
231.3139 	EXP 	polygon_2: autoDraw = True
231.5821 	EXP 	New trial (rep=40, index=0): None
231.5835 	DATA 	Keypress: b
231.5974 	EXP 	Cross: autoDraw = False
231.5974 	EXP 	polygon_2: autoDraw = False
232.5810 	EXP 	Cross: autoDraw = True
232.7811 	EXP 	Cross: autoDraw = False
233.4140 	EXP 	polygon_2: autoDraw = True
