Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[255, 0, 0]",2,25,0.46364893,1,3,398,C,Overt,4
"[255, 0, 0]",0,15,0.40569825,1,3,403,C,Overt,4
"[255, 0, 0]",2,30,0.38048808,1,3,409,C,Overt,4
"[255, 0, 0]",0,20,0.22466595,0,3,411,C,Overt,4
"[255, 0, 0]",2,0,0.38663258,1,3,412,C,Overt,4
"[255, 0, 0]",2,30,0.36945708,1,3,418,C,Overt,4
"[255, 0, 0]",0,30,0.39251565,1,3,419,C,Overt,4
"[255, 0, 0]",0,5,0.41070336,1,3,422,C,Overt,4
"[255, 0, 0]",0,40,0.39173224,1,3,428,C,Overt,4
"[255, 0, 0]",0,20,0.3060793,1,3,430,C,Overt,4
"[255, 0, 0]",0,25,0.39595796,1,3,434,C,Overt,4
"[255, 0, 0]",2,10,0.36600084,1,3,437,C,Overt,4
"[255, 0, 0]",0,5,0.24428191,0,3,438,C,Overt,4
"[255, 0, 0]",0,35,0.38260391,1,3,444,C,Overt,4
"[255, 0, 0]",0,40,0.37706039,1,3,445,C,Overt,4
"[255, 0, 0]",0,15,0.46690618,1,3,447,C,Overt,4
"[255, 0, 0]",2,5,0.38224896,1,3,449,C,Overt,4
"[255, 0, 0]",2,0,0.41712129,1,3,450,C,Overt,4
"[255, 0, 0]",0,10,0.28123312,1,3,451,C,Overt,4
"[255, 0, 0]",2,0,0.26352771,1,3,452,C,Overt,4
"[255, 0, 0]",2,15,0.37665465,1,3,454,C,Overt,4
"[255, 0, 0]",0,0,0.47173879,1,3,456,C,Overt,4
"[255, 0, 0]",0,20,0.36668768,1,3,461,C,Overt,4
"[255, 0, 0]",0,20,0.38447171,1,3,462,C,Overt,4
"[255, 0, 0]",2,35,0.38364383,1,3,469,C,Overt,4
"[255, 0, 0]",0,5,0.41968408,1,3,472,C,Overt,4
"[255, 0, 0]",2,30,0.33735714,1,3,473,C,Overt,4
"[255, 0, 0]",2,15,0.40640428,1,3,476,C,Overt,4
"[255, 0, 0]",0,35,0.50287404,1,3,479,C,Overt,4
"[255, 0, 0]",0,25,0.38540554,1,3,480,C,Overt,4
"[255, 0, 0]",0,15,0.34902926,1,3,481,C,Overt,4
"[255, 0, 0]",0,15,0.36436409,1,3,485,C,Overt,4
"[255, 0, 0]",2,35,0.39532583,1,3,488,C,Overt,4
"[255, 0, 0]",0,15,0.3337438,1,3,489,C,Overt,4
"[255, 0, 0]",0,40,0.41952078,1,3,495,C,Overt,4
"[255, 0, 0]",2,40,0.42143465,1,3,498,C,Overt,4
"[255, 0, 0]",2,15,0.31248839,1,3,499,C,Overt,4
"[255, 0, 0]",0,15,0.36860985,1,3,500,C,Overt,4
"[255, 0, 0]",2,40,0.37533233,1,3,503,C,Overt,4
"[255, 0, 0]",0,0,0.38011483,1,3,505,C,Overt,4
"[255, 0, 0]",2,5,0.49122109,1,3,521,C,Overt,4
"[255, 0, 0]",0,25,0.41058842,1,3,528,C,Overt,4
"[255, 0, 0]",0,25,0.36990876,1,3,531,C,Overt,4
"[255, 0, 0]",0,35,0.33836199,1,3,533,C,Overt,4
"[255, 0, 0]",2,25,0.46114731,1,3,537,C,Overt,4
"[255, 0, 0]",0,25,0.36811215,1,3,539,C,Overt,4
"[255, 0, 0]",0,25,0.34753506,1,3,542,C,Overt,4
"[255, 0, 0]",0,0,0.37903707,1,3,545,C,Overt,4
"[255, 0, 0]",2,40,0.40087944,1,3,546,C,Overt,4
"[255, 0, 0]",2,0,0.2731934,1,3,547,C,Overt,4
"[255, 0, 0]",2,20,0.28406284,1,3,548,C,Overt,4
"[255, 0, 0]",2,5,0.35636546,1,3,554,C,Overt,4
"[255, 0, 0]",2,30,0.40534249,1,3,556,C,Overt,4
"[255, 0, 0]",0,40,0.33516691,1,3,557,C,Overt,4
"[255, 0, 0]",0,30,0.3032791,1,3,558,C,Overt,4
"[255, 0, 0]",0,5,0.17039319,0,3,291,C,Overt,4
"[255, 0, 0]",0,35,0.24071728,0,3,296,C,Overt,4
"[255, 0, 0]",2,30,0.32872258,1,3,298,C,Overt,4
"[255, 0, 0]",0,5,0.41012819,1,3,302,C,Overt,4
"[255, 0, 0]",2,20,0.42425638,0,3,305,C,Overt,4
"[255, 0, 0]",0,5,0.41350309,1,3,307,C,Overt,4
"[255, 0, 0]",0,35,0.38716585,1,3,308,C,Overt,4
"[255, 0, 0]",2,20,0.31676437,1,3,314,C,Overt,4
"[255, 0, 0]",2,40,0.44079122,1,3,315,C,Overt,4
"[255, 0, 0]",2,30,0.44814748,1,3,317,C,Overt,4
"[255, 0, 0]",0,35,0.45320652,1,3,325,C,Overt,4
