Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",0,25,0.24111462,1,1,46,A,Covert,4,
"[255, 0, 0]",0,35,0.26768886,1,1,47,A,Covert,4,
"[255, 0, 0]",0,20,0.26306024,1,1,48,A,Covert,4,
"[255, 0, 0]",0,20,0.25033937,1,1,49,A,Covert,4,
"[255, 0, 0]",0,20,0.24129125,1,1,50,A,Covert,4,
"[255, 0, 0]",0,40,0.27383975,1,1,51,A,Covert,4,
"[255, 0, 0]",2,5,0.21751795,1,1,52,A,Covert,4,
"[255, 0, 0]",2,30,0.21179446,1,1,53,A,Covert,4,
"[255, 0, 0]",0,15,0.24473202,1,1,54,A,Covert,4,
"[255, 0, 0]",0,10,0.23186264,1,1,55,A,Covert,4,
"[255, 0, 0]",2,35,0.24933026,1,1,56,A,Covert,4,
"[255, 0, 0]",2,0,0.21114408,1,1,57,A,Covert,4,
"[255, 0, 0]",0,30,0.28152862,1,1,58,A,Covert,4,
"[255, 0, 0]",2,25,0.20227776,1,1,59,A,Covert,4,
"[255, 0, 0]",2,10,0.21859503,1,1,60,A,Covert,4,
"[255, 0, 0]",2,20,0.22767186,1,1,61,A,Covert,4,
"[255, 0, 0]",0,40,0.27181661,1,1,62,A,Covert,4,
"[255, 0, 0]",0,15,0.23343352,1,1,63,A,Covert,4,
"[255, 0, 0]",2,15,0.22249703,1,1,64,A,Covert,4,
"[255, 0, 0]",2,0,0.21031571,1,1,65,A,Covert,4,
"[255, 0, 0]",0,0,0.23028336,1,1,66,A,Covert,4,
"[255, 0, 0]",2,35,0.26356021,1,1,67,A,Covert,4,
"[255, 0, 0]",0,5,0.22969655,1,1,68,A,Covert,4,
"[255, 0, 0]",2,30,0.20479581,1,1,69,A,Covert,4,
"[255, 0, 0]",2,35,0.24970308,1,1,70,A,Covert,4,
"[255, 0, 0]",0,40,0.04384737,1,1,71,A,Covert,4,
"[255, 0, 0]",2,25,0.26621823,1,1,72,A,Covert,4,
"[255, 0, 0]",0,20,0.40712492,1,1,1,C,Covert,4,
"[255, 0, 0]",0,20,0.30524009,1,1,2,C,Covert,4,
"[255, 0, 0]",0,30,0.3372844,1,1,3,C,Covert,4,
"[255, 0, 0]",0,15,0.31792636,1,1,4,C,Covert,4,
"[255, 0, 0]",2,0,0.3072761,1,1,5,C,Covert,4,
"[255, 0, 0]",0,10,0.33037093,1,1,6,C,Covert,4,
"[255, 0, 0]",0,35,0.38790732,1,1,7,C,Covert,4,
"[255, 0, 0]",0,10,0.35171807,1,1,8,C,Covert,4,
"[255, 0, 0]",0,0,0.32427175,1,1,9,C,Covert,4,
"[255, 0, 0]",0,25,0.45884101,1,1,10,C,Covert,4,
"[255, 0, 0]",2,5,0.3154464,1,1,11,C,Covert,4,
"[255, 0, 0]",2,15,0.3118853,1,1,12,C,Covert,4,
"[255, 0, 0]",2,20,0.2873725,1,1,13,C,Covert,4,
"[255, 0, 0]",2,10,0.35266767,1,1,14,C,Covert,4,
"[255, 0, 0]",2,15,0.29377238,1,1,15,C,Covert,4,
"[255, 0, 0]",2,0,0.34211059,1,1,16,C,Covert,4,
"[255, 0, 0]",0,20,0.27685047,1,1,17,C,Covert,4,
"[255, 0, 0]",2,25,0.32802324,1,1,18,C,Covert,4,
"[255, 0, 0]",2,25,0.27348178,1,1,19,C,Covert,4,
"[255, 0, 0]",0,35,0.26175697,1,1,20,C,Covert,4,
"[255, 0, 0]",0,10,0.3105957,1,1,21,C,Covert,4,
"[255, 0, 0]",2,25,0.28173589,1,1,22,C,Covert,4,
"[255, 0, 0]",0,5,0.26357699,1,1,23,C,Covert,4,
"[255, 0, 0]",0,0,0.28596199,1,1,24,C,Covert,4,
"[255, 0, 0]",0,15,0.31720659,1,1,25,C,Covert,4,
"[255, 0, 0]",2,10,0.30870604,1,1,26,C,Covert,4,
"[255, 0, 0]",2,0,0.30305719,1,1,27,C,Covert,4,
"[255, 0, 0]",0,5,0.28974013,1,1,28,C,Covert,4,
"[255, 0, 0]",0,25,0.33579455,1,1,29,C,Covert,4,
"[255, 0, 0]",0,35,0.33915475,1,1,30,C,Covert,4,
"[255, 0, 0]",2,35,0.29247524,1,1,31,C,Covert,4,
"[255, 0, 0]",2,40,0.32255,1,1,32,C,Covert,4,
"[255, 0, 0]",0,40,0.30981036,1,1,33,C,Covert,4,
"[255, 0, 0]",2,20,0.31258659,1,1,34,C,Covert,4,
"[255, 0, 0]",2,40,0.30487144,1,1,35,C,Covert,4,
"[255, 0, 0]",2,40,0.33112827,1,1,36,C,Covert,4,
"[255, 0, 0]",2,10,0.30860237,1,1,37,C,Covert,4,
"[255, 0, 0]",2,5,0.27753314,1,1,38,C,Covert,4,
"[255, 0, 0]",2,35,0.25851619,1,1,39,C,Covert,4,
"[255, 0, 0]",0,30,0.32032747,1,1,40,C,Covert,4,
"[255, 0, 0]",0,25,0.26719839,1,1,41,C,Covert,4,
"[255, 0, 0]",2,20,0.23618349,1,1,42,C,Covert,4,
"[255, 0, 0]",0,0,0.30254254,1,1,43,C,Covert,4,
"[255, 0, 0]",2,15,0.27887189,1,1,44,C,Covert,4,
"[255, 0, 0]",0,10,0.27627686,1,1,45,C,Covert,4,
"[255, 0, 0]",2,30,0.26805422,1,1,46,C,Covert,4,
"[255, 0, 0]",0,40,0.29128668,1,1,47,C,Covert,4,
"[255, 0, 0]",0,25,0.27138649,1,1,48,C,Covert,4,
"[255, 0, 0]",0,30,0.26492663,1,1,49,C,Covert,4,
"[255, 0, 0]",2,0,0.29326173,1,1,50,C,Covert,4,
"[255, 0, 0]",2,40,0.27220562,1,1,51,C,Covert,4,
"[255, 0, 0]",2,20,0.31887592,1,1,52,C,Covert,4,
"[255, 0, 0]",0,15,0.29719613,1,1,53,C,Covert,4,
"[255, 0, 0]",2,25,0.3230847,1,1,54,C,Covert,4,
"[255, 0, 0]",0,20,0.28835484,1,1,55,C,Covert,4,
"[255, 0, 0]",0,40,0.30387846,1,1,56,C,Covert,4,
"[255, 0, 0]",0,5,0.27096699,1,1,57,C,Covert,4,
"[255, 0, 0]",0,15,0.27268697,1,1,58,C,Covert,4,
"[255, 0, 0]",0,35,0.33859267,1,1,59,C,Covert,4,
"[255, 0, 0]",0,40,0.34229323,1,1,60,C,Covert,4,
"[255, 0, 0]",2,5,0.2842199,1,1,61,C,Covert,4,
"[255, 0, 0]",2,5,0.24771759,1,1,62,C,Covert,4,
"[255, 0, 0]",2,30,0.28666203,1,1,63,C,Covert,4,
"[255, 0, 0]",2,15,0.21192562,1,1,64,C,Covert,4,
"[255, 0, 0]",2,30,0.45759881,1,1,65,C,Covert,4,
"[255, 0, 0]",0,30,0.32781403,1,1,66,C,Covert,4,
"[255, 0, 0]",2,35,0.3458886,1,1,67,C,Covert,4,
"[255, 0, 0]",2,10,0.30800492,1,1,68,C,Covert,4,
"[255, 0, 0]",0,5,0.28653239,1,1,69,C,Covert,4,
"[255, 0, 0]",2,35,0.26098414,1,1,70,C,Covert,4,
"[255, 0, 0]",0,0,0.30681262,1,1,71,C,Covert,4,
"[255, 0, 0]",2,30,0.30400609,1,1,72,C,Covert,4,
"[255, 0, 0]",2,0,0.28189769,1,1,1,C,Covert,4,
"[255, 0, 0]",2,10,0.22043704,1,1,2,C,Covert,4,
"[255, 0, 0]",2,20,0.27389059,1,1,3,C,Covert,4,
"[255, 0, 0]",2,25,0.30534363,1,1,4,C,Covert,4,
"[255, 0, 0]",0,30,0.40241046,1,1,5,C,Covert,4,
"[255, 0, 0]",2,35,0.28818764,1,1,6,C,Covert,4,
"[255, 0, 0]",0,0,0.66062861,1,1,7,C,Covert,4,
"[255, 0, 0]",2,10,0.43923276,1,1,8,C,Covert,4,
