Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees),n = 12
"[255, 0, 0]",2,10,0.24527805,1,1,67,A,Overt,4,
"[255, 0, 0]",0,15,0.26304782,1,1,68,A,Overt,4,
"[255, 0, 0]",0,30,0.29786897,1,1,69,A,Overt,4,
"[255, 0, 0]",2,25,0.27002368,1,1,70,A,Overt,4,
"[255, 0, 0]",2,30,0.25711982,1,1,71,A,Overt,4,
"[255, 0, 0]",2,5,0.24824526,1,1,72,A,Overt,4,
"[255, 0, 0]",0,35,0.40109171,1,1,1,C,Overt,4,
"[255, 0, 0]",2,5,0.23921398,1,1,2,C,Overt,4,
"[255, 0, 0]",0,40,0.23077898,1,1,3,C,Overt,4,
"[255, 0, 0]",2,25,0.20492897,1,1,4,C,Overt,4,
"[255, 0, 0]",0,10,0.14731317,1,1,5,C,Overt,4,
"[255, 0, 0]",0,20,0.2252285,1,1,6,C,Overt,4,
"[255, 0, 0]",2,40,0.24866241,1,1,7,C,Overt,4,
"[255, 0, 0]",2,25,0.24798191,1,1,8,C,Overt,4,
"[255, 0, 0]",0,35,0.24465275,1,1,9,C,Overt,4,
"[255, 0, 0]",2,15,0.23636797,1,1,10,C,Overt,4,
"[255, 0, 0]",0,40,0.28002978,1,1,11,C,Overt,4,
"[255, 0, 0]",2,30,0.23875926,1,1,12,C,Overt,4,
"[255, 0, 0]",0,30,0.26206216,1,1,13,C,Overt,4,
"[255, 0, 0]",2,20,0.26219393,1,1,14,C,Overt,4,
"[255, 0, 0]",2,35,0.26405956,1,1,15,C,Overt,4,
"[255, 0, 0]",0,30,0.23524256,1,1,16,C,Overt,4,
"[255, 0, 0]",2,25,0.00534114,1,1,17,C,Overt,4,
"[255, 0, 0]",2,40,0.1994852,1,1,18,C,Overt,4,
"[255, 0, 0]",2,30,0.24822683,1,1,19,C,Overt,4,
"[255, 0, 0]",0,0,0.29183238,1,1,20,C,Overt,4,
"[255, 0, 0]",0,0,0.43613093,1,1,21,C,Overt,4,
"[255, 0, 0]",2,5,0.2126471,1,1,22,C,Overt,4,
"[255, 0, 0]",0,40,0.20235273,1,1,23,C,Overt,4,
"[255, 0, 0]",0,30,0.35700561,1,1,24,C,Overt,4,
"[255, 0, 0]",0,15,0.37800909,1,1,25,C,Overt,4,
"[255, 0, 0]",2,10,0.25373643,1,1,26,C,Overt,4,
"[255, 0, 0]",2,15,0.23625317,1,1,27,C,Overt,4,
"[255, 0, 0]",0,25,0.22485749,1,1,28,C,Overt,4,
"[255, 0, 0]",2,40,0.26001428,1,1,29,C,Overt,4,
"[255, 0, 0]",2,10,0.25840163,1,1,30,C,Overt,4,
"[255, 0, 0]",2,0,0.23731473,1,1,31,C,Overt,4,
"[255, 0, 0]",0,20,0.24173248,1,1,32,C,Overt,4,
"[255, 0, 0]",0,10,0.25577828,1,1,33,C,Overt,4,
"[255, 0, 0]",0,15,0.25935556,1,1,34,C,Overt,4,
"[255, 0, 0]",0,5,0.24366577,1,1,35,C,Overt,4,
"[255, 0, 0]",0,0,0.23577823,1,1,36,C,Overt,4,
"[255, 0, 0]",0,0,0.27944638,1,1,37,C,Overt,4,
"[255, 0, 0]",2,40,0.23567408,1,1,38,C,Overt,4,
"[255, 0, 0]",0,25,-0.0508687,1,1,39,C,Overt,4,
"[255, 0, 0]",2,30,0.21058225,1,1,40,C,Overt,4,
"[255, 0, 0]",2,10,0.26277638,1,1,41,C,Overt,4,
"[255, 0, 0]",2,20,0.19996515,1,1,42,C,Overt,4,
"[255, 0, 0]",0,35,0.15408504,1,1,43,C,Overt,4,
"[255, 0, 0]",0,25,0.24446152,1,1,44,C,Overt,4,
"[255, 0, 0]",0,40,0.02573507,1,1,45,C,Overt,4,
"[255, 0, 0]",0,35,0.17863611,1,1,46,C,Overt,4,
"[255, 0, 0]",2,20,0.21677074,1,1,47,C,Overt,4,
"[255, 0, 0]",2,5,0.25872316,1,1,48,C,Overt,4,
"[255, 0, 0]",0,5,0.21312558,1,1,49,C,Overt,4,
"[255, 0, 0]",0,5,0.44164203,1,1,50,C,Overt,4,
"[255, 0, 0]",0,10,0.21667025,1,1,51,C,Overt,4,
"[255, 0, 0]",2,35,0.20970007,1,1,52,C,Overt,4,
"[255, 0, 0]",0,30,0.3699573,1,1,53,C,Overt,4,
"[255, 0, 0]",2,0,0.23003674,1,1,54,C,Overt,4,
"[255, 0, 0]",2,10,0.17729932,1,1,55,C,Overt,4,
"[255, 0, 0]",0,20,0.177436,1,1,56,C,Overt,4,
"[255, 0, 0]",2,30,0.31215194,1,1,57,C,Overt,4,
"[255, 0, 0]",2,25,0.22278582,1,1,58,C,Overt,4,
"[255, 0, 0]",0,20,-0.0182722,1,1,59,C,Overt,4,
"[255, 0, 0]",2,35,0.05397329,1,1,60,C,Overt,4,
"[255, 0, 0]",2,15,0.2561997,1,1,61,C,Overt,4,
"[255, 0, 0]",2,0,0.18650566,1,1,62,C,Overt,4,
"[255, 0, 0]",2,15,0.23354618,1,1,63,C,Overt,4,
"[255, 0, 0]",0,25,0.26774063,1,1,64,C,Overt,4,
"[255, 0, 0]",0,15,-0.0722892,1,1,65,C,Overt,4,
"[255, 0, 0]",0,15,0.11637496,1,1,66,C,Overt,4,
"[255, 0, 0]",0,5,0.26445724,1,1,67,C,Overt,4,
"[255, 0, 0]",2,35,0.21231852,1,1,68,C,Overt,4,
"[255, 0, 0]",0,10,0.36530906,1,1,69,C,Overt,4,
"[255, 0, 0]",2,20,0.2505694,1,1,70,C,Overt,4,
"[255, 0, 0]",2,0,0.21853537,1,1,71,C,Overt,4,
"[255, 0, 0]",2,5,0.42547702,1,1,72,C,Overt,4,
"[255, 0, 0]",2,10,0.49527718,1,1,1,C,Overt,4,
"[255, 0, 0]",2,35,0.27702255,1,1,2,C,Overt,4,
"[255, 0, 0]",0,15,0.24294209,1,1,3,C,Overt,4,
"[255, 0, 0]",0,35,0.26571425,1,1,4,C,Overt,4,
"[255, 0, 0]",0,5,0.28074585,1,1,5,C,Overt,4,
"[255, 0, 0]",0,25,0.25304468,1,1,6,C,Overt,4,
"[255, 0, 0]",2,40,0.26280378,1,1,7,C,Overt,4,
"[255, 0, 0]",0,40,0.2627473,1,1,8,C,Overt,4,
"[255, 0, 0]",2,25,0.26058564,1,1,9,C,Overt,4,
"[255, 0, 0]",0,40,0.29912611,1,1,10,C,Overt,4,
"[255, 0, 0]",2,30,0.2671862,1,1,11,C,Overt,4,
"[255, 0, 0]",0,25,0.26733237,1,1,12,C,Overt,4,
"[255, 0, 0]",0,15,0.29983161,1,1,13,C,Overt,4,
"[255, 0, 0]",2,10,0.2160214,1,1,14,C,Overt,4,
"[255, 0, 0]",2,30,0.24555506,1,1,15,C,Overt,4,
"[255, 0, 0]",0,10,0.25612792,1,1,16,C,Overt,4,
"[255, 0, 0]",2,15,0.27878872,1,1,17,C,Overt,4,
"[255, 0, 0]",0,5,0.28029757,1,1,18,C,Overt,4,
"[255, 0, 0]",2,15,0.29878696,1,1,19,C,Overt,4,
"[255, 0, 0]",2,0,0.34112907,1,1,20,C,Overt,4,
"[255, 0, 0]",2,35,0.2604334,1,1,21,C,Overt,4,
"[255, 0, 0]",2,25,0.25543928,1,1,22,C,Overt,4,
"[255, 0, 0]",2,20,0.24397075,1,1,23,C,Overt,4,
"[255, 0, 0]",0,10,0.32309143,1,1,24,C,Overt,4,
"[255, 0, 0]",0,40,0.09148492,1,1,25,C,Overt,4,
"[255, 0, 0]",2,20,-0.1048672,1,1,26,C,Overt,4,
"[255, 0, 0]",2,35,0.28278935,1,1,27,C,Overt,4,
"[255, 0, 0]",0,15,0.24470064,1,1,28,C,Overt,4,
"[255, 0, 0]",2,25,0.26578032,1,1,29,C,Overt,4,
"[255, 0, 0]",2,10,0.28073962,1,1,30,C,Overt,4,
"[255, 0, 0]",2,15,0.46717349,1,1,31,C,Overt,4,
"[255, 0, 0]",0,30,0.5104557,1,1,32,C,Overt,4,
"[255, 0, 0]",2,0,0.38689528,1,1,33,C,Overt,4,
"[255, 0, 0]",2,35,0.27789917,1,1,34,C,Overt,4,
"[255, 0, 0]",2,30,0.04540872,1,1,35,C,Overt,4,
"[255, 0, 0]",2,20,0.24599693,1,1,36,C,Overt,4,
"[255, 0, 0]",2,5,0.31892434,1,1,37,C,Overt,4,
"[255, 0, 0]",2,40,0.22812165,1,1,38,C,Overt,4,
"[255, 0, 0]",0,35,0.20821393,1,1,39,C,Overt,4,
"[255, 0, 0]",0,5,0.27998295,1,1,40,C,Overt,4,
"[255, 0, 0]",0,25,0.29321814,1,1,41,C,Overt,4,
"[255, 0, 0]",0,20,0.21070115,1,1,42,C,Overt,4,
"[255, 0, 0]",0,30,0.53268521,1,1,43,C,Overt,4,
"[255, 0, 0]",2,5,0.34671602,1,1,44,C,Overt,4,
"[255, 0, 0]",2,0,0.24287603,1,1,45,C,Overt,4,
"[255, 0, 0]",0,20,0.31126713,1,1,46,C,Overt,4,
"[255, 0, 0]",2,25,0.04811438,1,1,47,C,Overt,4,
"[255, 0, 0]",0,5,0.33441908,1,1,48,C,Overt,4,
"[255, 0, 0]",2,0,0.27795392,1,1,49,C,Overt,4,
"[255, 0, 0]",0,15,0.43944341,1,1,50,C,Overt,4,
"[255, 0, 0]",0,25,-0.0387475,1,1,51,C,Overt,4,
"[255, 0, 0]",2,30,0.30810709,1,1,52,C,Overt,4,
"[255, 0, 0]",2,40,0.23963438,1,1,53,C,Overt,4,
"[255, 0, 0]",2,40,0.25935068,1,1,54,C,Overt,4,
"[255, 0, 0]",2,20,0.18654713,1,1,55,C,Overt,4,
"[255, 0, 0]",0,10,0.25563745,1,1,56,C,Overt,4,
"[255, 0, 0]",2,5,0.38958633,1,1,57,C,Overt,4,
"[255, 0, 0]",0,10,0.61059807,1,1,58,C,Overt,4,
"[255, 0, 0]",0,30,0.36365077,1,1,59,C,Overt,4,
"[255, 0, 0]",0,0,0.11278343,1,1,60,C,Overt,4,
"[255, 0, 0]",2,5,0.32526976,1,1,61,C,Overt,4,
"[255, 0, 0]",0,0,0.30519503,1,1,62,C,Overt,4,
"[255, 0, 0]",0,0,0.26467693,1,1,63,C,Overt,4,
"[255, 0, 0]",0,30,0.62877498,1,1,64,C,Overt,4,
"[255, 0, 0]",2,15,0.38154655,1,1,65,C,Overt,4,
"[255, 0, 0]",0,20,0.25966118,1,1,66,C,Overt,4,
"[255, 0, 0]",0,35,0.2127325,1,1,67,C,Overt,4,
"[255, 0, 0]",0,0,0.43757481,1,1,68,C,Overt,4,
"[255, 0, 0]",0,35,0.26848135,1,1,69,C,Overt,4,
"[255, 0, 0]",2,10,0.29262702,1,1,70,C,Overt,4,
"[255, 0, 0]",0,40,0.33487544,1,1,71,C,Overt,4,
"[255, 0, 0]",0,20,0.21715476,1,1,72,C,Overt,4,
"[255, 0, 0]",0,30,0.24855041,1,1,1,D,Overt,4,
"[255, 0, 0]",0,5,0.24293257,1,1,2,D,Overt,4,
"[255, 0, 0]",2,15,0.25561067,1,1,3,D,Overt,4,
"[255, 0, 0]",0,30,0.2445103,1,1,4,D,Overt,4,
"[255, 0, 0]",0,0,0.19843928,1,1,5,D,Overt,4,
"[255, 0, 0]",0,20,0.2311561,1,1,6,D,Overt,4,
"[255, 0, 0]",2,25,0.19954541,1,1,7,D,Overt,4,
"[255, 0, 0]",0,20,0.20973702,1,1,8,D,Overt,4,
"[255, 0, 0]",0,10,0.22813963,1,1,9,D,Overt,4,
"[255, 0, 0]",0,0,0.2222083,1,1,10,D,Overt,4,
"[255, 0, 0]",2,25,0.19477486,1,1,11,D,Overt,4,
"[255, 0, 0]",2,15,0.22277325,1,1,12,D,Overt,4,
"[255, 0, 0]",0,20,0.29921894,1,1,13,D,Overt,4,
"[255, 0, 0]",0,25,0.23614328,1,1,14,D,Overt,4,
"[255, 0, 0]",2,25,0.22305854,1,1,15,D,Overt,4,
"[255, 0, 0]",2,20,0.23854921,1,1,16,D,Overt,4,
"[255, 0, 0]",2,10,0.2073037,1,1,17,D,Overt,4,
"[255, 0, 0]",0,30,0.25879042,1,1,18,D,Overt,4,
"[255, 0, 0]",2,20,0.23132214,1,1,19,D,Overt,4,
"[255, 0, 0]",2,5,0.25476661,1,1,20,D,Overt,4,
"[255, 0, 0]",0,35,0.2284846,1,1,21,D,Overt,4,
"[255, 0, 0]",2,10,0.20557219,1,1,22,D,Overt,4,
"[255, 0, 0]",2,10,0.23469899,1,1,23,D,Overt,4,
"[255, 0, 0]",2,20,0.22919557,1,1,24,D,Overt,4,
"[255, 0, 0]",2,0,0.22934093,1,1,25,D,Overt,4,
"[255, 0, 0]",2,35,0.27130555,1,1,26,D,Overt,4,
"[255, 0, 0]",2,20,0.27910268,1,1,27,D,Overt,4,
