Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,1/2/3 Colors,Trial,Name,Attention,Circle Size (degrees)
"[0, 0, 255]",2,10,0.36118565,1,3,389,A,Overt,4
"[0, 0, 255]",2,0,0.28782025,1,3,391,A,Overt,4
"[0, 0, 255]",0,10,0.27478846,1,3,395,A,Overt,4
"[0, 0, 255]",2,20,0.29408319,1,3,399,A,Overt,4
"[0, 0, 255]",0,25,0.3359878,1,3,400,A,Overt,4
"[0, 0, 255]",0,40,0.32695752,1,3,401,A,Overt,4
"[0, 0, 255]",2,35,0.41283583,1,3,402,A,Overt,4
"[0, 0, 255]",2,30,0.31236558,1,3,403,A,Overt,4
"[0, 0, 255]",0,0,0.2790487,1,3,408,A,Overt,4
"[0, 0, 255]",0,5,0.28972662,1,3,413,A,Overt,4
"[0, 0, 255]",2,35,0.36651297,1,3,414,A,Overt,4
"[0, 0, 255]",2,40,0.33925097,1,3,423,A,Overt,4
"[0, 0, 255]",2,0,0.28050122,1,3,426,A,Overt,4
"[0, 0, 255]",2,15,0.32450428,1,3,432,A,Overt,4
"[0, 0, 255]",2,15,0.30032689,1,3,437,A,Overt,4
"[0, 0, 255]",2,20,0.29963183,1,3,440,A,Overt,4
"[0, 0, 255]",0,10,0.27130759,0,3,446,A,Overt,4
"[0, 0, 255]",2,35,0.37830101,1,3,454,A,Overt,4
"[0, 0, 255]",0,40,0.32467813,1,3,456,A,Overt,4
"[0, 0, 255]",0,30,0.34854221,1,3,457,A,Overt,4
"[0, 0, 255]",0,5,0.34960393,1,3,461,A,Overt,4
"[0, 0, 255]",0,15,0.36766856,1,3,463,A,Overt,4
"[0, 0, 255]",0,0,0.3031286,1,3,464,A,Overt,4
"[0, 0, 255]",2,5,0.30977434,1,3,466,A,Overt,4
"[0, 0, 255]",2,5,0.31532741,1,3,468,A,Overt,4
"[0, 0, 255]",0,40,0.39654534,1,3,470,A,Overt,4
"[0, 0, 255]",0,25,0.36675107,1,3,471,A,Overt,4
"[0, 0, 255]",2,40,0.28892232,1,3,474,A,Overt,4
"[0, 0, 255]",0,40,0.38248038,1,3,475,A,Overt,4
"[0, 0, 255]",0,20,0.31718755,1,3,478,A,Overt,4
"[0, 0, 255]",2,10,0.29307136,1,3,482,A,Overt,4
"[0, 0, 255]",2,15,0.31144238,1,3,483,A,Overt,4
"[0, 0, 255]",2,5,0.26662673,1,3,485,A,Overt,4
"[0, 0, 255]",2,40,0.37201194,0,3,491,A,Overt,4
"[0, 0, 255]",0,10,0.3168031,1,3,495,A,Overt,4
"[0, 0, 255]",2,40,0.35832837,1,3,497,A,Overt,4
"[0, 0, 255]",0,35,0.32046452,1,3,506,A,Overt,4
"[0, 0, 255]",0,20,0.27199535,0,3,513,A,Overt,4
"[0, 0, 255]",2,20,0.29311285,1,3,514,A,Overt,4
"[0, 0, 255]",0,35,0.34318435,1,3,515,A,Overt,4
"[0, 0, 255]",2,20,0.32606312,1,3,517,A,Overt,4
"[0, 0, 255]",2,40,0.36077658,1,3,519,A,Overt,4
"[0, 0, 255]",2,15,0.32851577,1,3,525,A,Overt,4
"[0, 0, 255]",0,15,0.44805921,1,3,526,A,Overt,4
"[0, 0, 255]",2,5,0.32020482,1,3,528,A,Overt,4
"[0, 0, 255]",2,15,0.31564982,1,3,529,A,Overt,4
"[0, 0, 255]",2,20,0.33448544,1,3,530,A,Overt,4
"[0, 0, 255]",0,30,0.36821458,1,3,539,A,Overt,4
"[0, 0, 255]",2,25,0.42370522,1,3,542,A,Overt,4
"[0, 0, 255]",0,20,0.30996277,1,3,546,A,Overt,4
"[0, 0, 255]",2,15,0.26101667,1,3,555,A,Overt,4
"[0, 0, 255]",0,5,0.38169417,1,3,294,C,Overt,4
"[0, 0, 255]",0,30,0.32333467,1,3,295,C,Overt,4
"[0, 0, 255]",0,30,0.33043478,1,3,296,C,Overt,4
"[0, 0, 255]",2,15,0.36378761,1,3,298,C,Overt,4
"[0, 0, 255]",2,0,0.35750123,1,3,299,C,Overt,4
"[0, 0, 255]",2,0,0.26156464,0,3,308,C,Overt,4
"[0, 0, 255]",2,10,0.37699617,1,3,309,C,Overt,4
"[0, 0, 255]",0,15,0.34376141,1,3,312,C,Overt,4
"[0, 0, 255]",2,35,0.3275534,1,3,316,C,Overt,4
"[0, 0, 255]",2,30,0.28828478,1,3,317,C,Overt,4
"[0, 0, 255]",2,5,0.28806118,1,3,318,C,Overt,4
"[0, 0, 255]",2,15,0.37181722,1,3,320,C,Overt,4
"[0, 0, 255]",0,35,0.39947679,1,3,322,C,Overt,4
"[0, 0, 255]",0,10,0.68772883,0,3,330,C,Overt,4
"[0, 0, 255]",0,40,0.39599285,1,3,331,C,Overt,4
"[0, 0, 255]",2,35,0.36538258,1,3,332,C,Overt,4
"[0, 0, 255]",2,30,0.27743062,1,3,333,C,Overt,4
"[0, 0, 255]",2,15,0.2987644,1,3,334,C,Overt,4
"[0, 0, 255]",2,35,0.39445613,1,3,339,C,Overt,4
"[0, 0, 255]",2,20,0.40667969,1,3,344,C,Overt,4
"[0, 0, 255]",2,25,0.33580184,1,3,347,C,Overt,4
"[0, 0, 255]",2,25,0.39921589,1,3,348,C,Overt,4
"[0, 0, 255]",0,25,0.3087107,1,3,349,C,Overt,4
"[0, 0, 255]",2,40,0.36000772,1,3,350,C,Overt,4
"[0, 0, 255]",0,25,0.44789687,1,3,354,C,Overt,4
"[0, 0, 255]",0,15,0.40142973,1,3,357,C,Overt,4
"[0, 0, 255]",2,40,0.37834824,1,3,360,C,Overt,4
"[0, 0, 255]",0,30,0.29678242,0,3,361,C,Overt,4
"[0, 0, 255]",0,35,0.36459261,1,3,364,C,Overt,4
"[0, 0, 255]",0,10,0.37415904,1,3,365,C,Overt,4
"[0, 0, 255]",0,30,0.32884953,1,3,366,C,Overt,4
"[0, 0, 255]",2,35,0.42320064,1,3,369,C,Overt,4
"[0, 0, 255]",0,40,0.41593821,1,3,370,C,Overt,4
