Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[255, 255, 0]",2,10,0.3297470389516093,0,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.2873279719497077,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3140256429906003,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.2647733030025847,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3750742059783079,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.341535136976745,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.27847903000656515,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.33079423900926486,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.33172160398680717,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3146632830030285,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.33029332902515307,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.41009191796183586,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.30365154199535027,0,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3373088489752263,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.3755692309932783,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3327558580203913,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.3274756490136497,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3110621550003998,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3375716470181942,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3942563319578767,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.32075722701847553,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3481194049818441,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3163459110073745,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3105293230037205,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3306277870433405,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.341894579003565,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.35509225801797584,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3015613749739714,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.34994014899712056,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3004183360026218,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.3569842600263655,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.20744362997356802,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.338213242997881,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.31603110302239656,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3511062759789638,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.33157403400400653,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.31061139999656007,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3316662519937381,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3663504759897478,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.43063807097496465,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.26780038903234527,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.3920823779772036,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.4757250399561599,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.42139524198137224,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.346960766997654,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.3875990909873508,0,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.5619055169518106,0,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3876954970182851,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3783842900302261,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.2997032559942454,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.27609932294581085,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3569466309854761,1,Mingda,1,4,BY
